fxPrefixIni;fxPrefixFim;indEsp;fxPais_Nome
000;019;0;GS1 US
020;029;1;Números de circulação restrita dentro da região
030;039;0;GS1 US
040;049;1;GS1 Números de circulação restrita dentro da empresa
050;059;1;GS1 US reserved for future use
060;139;0;GS1 US
200;299;1;GS1 Números de circulação restrita dentro da região
300;379;0;GS1 France
380;380;0;GS1 Bulgaria
383;383;0;GS1 Slovenija
385;385;0;GS1 Croatia
387;387;0;GS1 BIH (Bosnia-Herzegovina)
389;389;0;GS1 Montenegro
400;440;0;GS1 Germany
450;459;0;GS1 Japan
490;499;0;GS1 Japan
460;469;0;GS1 Russia
470;470;0;GS1 Kyrgyzstan
471;471;0;GS1 Taiwan
474;474;0;GS1 Estonia
475;475;0;GS1 Latvia
476;476;0;GS1 Azerbaijan
477;477;0;GS1 Lithuania
478;478;0;GS1 Uzbekistan
479;479;0;GS1 Sri Lanka
480;480;0;GS1 Philippines
481;481;0;GS1 Belarus
482;482;0;GS1 Ukraine
483;483;0;GS1 Turkmenistan
484;484;0;GS1 Moldova
485;485;0;GS1 Armenia
486;486;0;GS1 Georgia
487;487;0;GS1 Kazakstan
488;488;0;GS1 Tajikistan
489;489;0;GS1 Hong Kong
500;509;0;GS1 UK
520;521;0;GS1 Association Greece
528;528;0;GS1 Lebanon
529;529;0;GS1 Cyprus
530;530;0;GS1 Albania
531;531;0;GS1 Macedonia
535;535;0;GS1 Malta
539;539;0;GS1 Ireland
540;549;0;GS1 Belgium & Luxembourg
560;560;0;GS1 Portugal
569;569;0;GS1 Iceland
570;579;0;GS1 Denmark
590;590;0;GS1 Poland
594;594;0;GS1 Romania
599;599;0;GS1 Hungary
600;601;0;GS1 South Africa
603;603;0;GS1 Ghana
604;604;0;GS1 Senegal
608;608;0;GS1 Bahrain
609;609;0;GS1 Mauritius
611;611;0;GS1 Morocco
613;613;0;GS1 Algeria
615;615;0;GS1 Nigeria
616;616;0;GS1 Kenya
618;618;0;GS1 Ivory Coast
619;619;0;GS1 Tunisia
620;620;0;GS1 Tanzania
621;621;0;GS1 Syria
622;622;0;GS1 Egypt
623;623;0;GS1 Brunei
624;624;0;GS1 Libya
625;625;0;GS1 Jordan
626;626;0;GS1 Iran
627;627;0;GS1 Kuwait
628;628;0;GS1 Saudi Arabia
629;629;0;GS1 Emirates
640;649;0;GS1 Finland
690;699;0;GS1 China
700;709;0;GS1 Norway
729;729;0;GS1 Israel
730;739;0;GS1 Sweden
740;740;0;GS1 Guatemala
741;741;0;GS1 El Salvador
742;742;0;GS1 Honduras
743;743;0;GS1 Nicaragua
744;744;0;GS1 Costa Rica
745;745;0;GS1 Panama
746;746;0;GS1 Republica Dominicana
750;750;0;GS1 Mexico
754;755;0;GS1 Canada
759;759;0;GS1 Venezuela
760;769;0;GS1 Schweiz, Suisse, Svizzera
770;771;0;GS1 Colombia
773;773;0;GS1 Uruguay
775;775;0;GS1 Peru
777;777;0;GS1 Bolivia
778;779;0;GS1 Argentina
780;780;0;GS1 Chile
784;784;0;GS1 Paraguay
786;786;0;GS1 Ecuador
789;790;0;GS1 Brasil
800;839;0;GS1 Italy
840;849;0;GS1 Spain
850;850;0;GS1 Cuba
858;858;0;GS1 Slovakia
859;859;0;GS1 Czech
860;860;0; GS1 Serbia
865;865;0;GS1 Mongolia
867;867;0;GS1 North Korea
868;869;0;GS1 Turkey
870;879;0;GS1 Netherlands
880;880;0;GS1 South Korea
884;884;0;GS1 Cambodia
885;885;0;GS1 Thailand
888;888;0;GS1 Singapore
890;890;0;GS1 India
893;893;0;GS1 Vietnam
896;896;0;GS1 Pakistan
899;899;0;GS1 Indonesia
900;919;0;GS1 Austria
930;939;0;GS1 Australia
940;949;0;GS1 New Zealand
950;950;1;GS1 Global Office
951;951;1;Numera‡Æo para EPC Tag Data Standard
955;955;0;GS1 Malaysia
958;958;0;GS1 Macau
960;969;1;Global Office (GTIN-8s)
977;977;1;Serial publications (ISSN)
978;979;1;Bookland (ISBN)
980;980;1;Refund receipts
981;984;1;GS1 Coupon identification for common currency areas
990;999;1;GS1 Coupon identification
